HBF	2																													
	NOVEMBER																													
	Do	Fr	Sa	So	Mo	Di	Mi	Do	Fr	Sa	So	Mo	Di	Mi	Do	Fr	Sa	So	Mo	Di	Mi	Do	Fr	Sa	So	Mo	Di	Mi	Do	Fr
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
	8	8	10	x	8	8	8	8	8	10	x	8	8	8	8	8	10	x	8	8	8	8	8	10	x	8	8	8	8	8
	16	16	18	x	16	16	16	16	16	18	x	16	16	16	16	16	18	x	16	16	16	16	16	18	x	16	16	16	16	16
GM	AB	AB	EV		EV	AB	AB	JA	#	JA		AB	EV	AB	AB	AB	#		EV	EV	EV	AB	#	#		AB	EV	EV	AB	AB
ID	108	108	65		65	108	108	21		21		108	65	108	108	108			65	65	65	108				108	65	65	108	108
	14	14	17	x	14	14	14	14	14	17	x	14	14	14	14	14	17	x	14	14	14	14	14	17	x	14	14	14	14	14
	22	22	22	x	22	22	22	22	22	22	x	22	22	22	22	22	22	x	22	22	22	22	22	22	x	22	22	22	22	22
GM	JA	EV	#		AB	JA	EV	EV	EV	#		JA	AB	JA	EV	EV	#		AB	AB	AB	EV	JA	#		JA	AB	AB	JA	EV
ID	21	65			108	21	65	65	65			21	108	21	65	65			108	108	108	65	21			21	108	108	21	65
																														
																														
																														
Implerstraße		3
	NOVEMBER																													
	Do	Fr	Sa	So	Mo	Di	Mi	Do	Fr	Sa	So	Mo	Di	Mi	Do	Fr	Sa	So	Mo	Di	Mi	Do	Fr	Sa	So	Mo	Di	Mi	Do	Fr
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
	10	10	10	x	x	10	10	10	10	10	x	x	10	10	10	10	10	x	x	10	10	10	10	10	x	x	10	10	10	10
	16	18	16	x	x	18	18	18	18	17	x	x	18	18	18	18	16	x	x	18	18	18	16	16	x	x	18	18	16	18
GM	#	RQ	#			RQ	JA	RQ	RQ	#			JA	#	RQ	RQ	#			JA	JA	RQ	#	#			JA	JA	#	RQ
ID		84				84	21	84	84				21		84	84				21	21	84					21	21		84
	16	16	16	x	x	x	x	16	16	17	x	x	x	x	16	16	16	x	x	x	x	16	16	16	x	x	x	x	16	16
	24	24	24	x	x	x	x	24	24	24	x	x	x	x	24	24	24	x	x	x	x	24	24	24	x	x	x	x	24	24
GM	EV	JA	AB					AB	JA	#					JA	JA	EV					JA	AB	JA					EV	JA
ID	65	21	108					108	21						21	21	65					21	108	21					65	21
	x												10								10									
	x												18								18									
	x												RQ								RQ									
	x												84								84									
																														
Münchner Freiheit			1
	NOVEMBER																													
	Do	Fr	Sa	So	Mo	Di	Mi	Do	Fr	Sa	So	Mo	Di	Mi	Do	Fr	Sa	So	Mo	Di	Mi	Do	Fr	Sa	So	Mo	Di	Mi	Do	Fr
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
	9	9	11	12	9	9	9	9	9	11	12	9	9	9	9	9	11	12	9	9	9	9	9	11	12	9	9	9	9	9
	16	16	18	21	16	16	16	18	14	18	21	16	16	16	16	16	16	21	16	16	16	18	16	16	21	16	16	16	16	16
GM	MP	MP	RQ	RQ	LP	LP	LP	MP	MP	LP	LP	MP	LP	LP	MP	MP	#	#	LP	LP	LP	MP	LP	MP	MP	LP	LP	LP	MP	MP
ID	46	46	84	84	2	2	2	46	46	2	2	46	2	2	46	46			2	2	2	46	2	46	46	2	2	2	46	46
	15	15	16	x	16	16	16	18	14	16	x	15	16	15	16	14	16	x	16	16	x	16	15	15	x	15	16	16	15	15
	23	23	23	x	23	23	23	23	23	23	x	23	23	23	23	23	23	x	23	23	x	23	23	23	x	23	23	23	23	23
GM	RQ	LP	LP		MP	MP	MP	LP	LP	RQ		RQ	MP	RQ	#	LP	MP		MP	MP	MP	#	RQ	RQ		RQ	MP	MP	RQ	LP
ID	84	2	2		46	46	46	2	2	84		84	46	84		2	46		46	46	46		84	84		84	46	46	84	2
	9						9								9							9						15	9	
	16						17								16							16						23	16	
	LP						RQ								LP							LP						RQ	LP	
	2						84								2							2						84	2	
