HBF	2																								
	ENERO																								
	Mo	Di	Mi	Do	Fr	Sa	So	Mo	Di	Mi	Do	Fr	Sa	So	Mo	Di	Mi	Do	Fr	Sa	So	Mo	Di	Mi	Do
	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
	8	8	8	8	8	10	x	8	8	8	8	8	10	x	8	x	8	8	8	10	x	8	8	8	8
	16	16	16	16	16	18	x	16	16	16	16	14	18	x	16	x	16	16	16	16	x	16	16	16	16
GM	AB	JA	#EV	AB	AB	#EV		#EV	AB	AB	JA	#	JA		AB	EV	AB	AB	AB	#		EV	EV	JA	AB
ID	108	21	65	108	108	65		65	108	108	21		21		108	65	108	108	108			65	65	21	108
	14	14	14	14	14	18	x	14	14	14	14	14	18	x	14	x	14	14	14	16	x	14	14	14	14
	22	22	22	22	22	22	x	22	22	22	22	22	22	x	22	x	22	22	22	22	x	22	22	22	22
GM	JA	AB	JA	JA	#EV	#		AB	JA	EV	EV	EV	#		JA	AB	JA	EV	EV	#		AB	JA	AB	EV
ID	21	108	21	21	65			108	21	65	65	65			21	108	21	65	65			108	21	108	65
																									
																									
																									
Implerstra§e		3																							
	ENERO																								
	Mo	Di	Mi	Do	Fr	Sa	So	Mo	Di	Mi	Do	Fr	Sa	So	Mo	Di	Mi	Do	Fr	Sa	So	Mo	Di	Mi	Do
	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
	x	10	10	10	10	10	x	x	10	10	10	10	10	x	x	10	10	10	10	10	x	x	10	10	10
	x	18	18	15	18	15	x	x	18	18	18	15	17	x	x	18	18	18	18	15	x	x	18	18	18
GM		#EV	AB	#	#RQ	#			RQ	JA	RQ	#	#			JA	#	RQ	RQ	#			AB	EV	RQ
ID		65	108		84				84	21	84					21		84	84				108	65	84
	x	x	x	15	15	15	x	x	x	x	15	15	17	x	x	x	x	15	15	15	x	x	x	x	15
	x	x	x	23	23	23	x	x	x	x	23	23	23	x	x	x	x	23	23	23	x	x	x	x	23
GM				#EV	JA	AB					AB	JA	#					JA	JA	EV					JA
ID				65	21	108					108	21						21	21	65					21
	x															10								10	
	x															18								18	
	x															RQ								RQ	
	x															84								84	
																									
MŸnchner Freiheit			1																						
	ENERO																								
	Mo	Di	Mi	Do	Fr	Sa	So	Mo	Di	Mi	Do	Fr	Sa	So	Mo	Di	Mi	Do	Fr	Sa	So	Mo	Di	Mi	Do
	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
	9	9	9	9	9	11	12	9	9	9	9	9	11	12	9	9	9	9	9	10	12	9	9	9	9
	16	16	16	16	16	18	21	16	16	16	16	16	17	21	16	16	16	16	16	16	21	16	16	16	16
GM	LP	LP	LP	MP	MP	#RQ	#RQ	LP	LP	LP	MP	MP	LP	LP	MP	LP	LP	MP	MP	#	#	LP	LP	LP	MP
ID	2	2	2	46	46	84	84	2	2	2	46	46	2	2	46	2	2	46	46			2	2	2	46
	15	16	16	15	15	16	x	16	16	16	14	15	15	x	15	16	15	15	14	16	x	16	16	16	14
	23	23	23	23	23	23	x	23	23	23	23	23	23	x	23	23	23	23	23	23	x	23	23	23	23
GM	#RQ	MP	MP	#RQ	LP	LP		MP	MP	MP	LP	RQ	RQ		RQ	MP	RQ	LP	LP	MP		MP	MP	MP	LP
ID	84	46	46	84	2	2		46	46	46	2	84	84		84	46	84	2	2	46		46	46	46	2
	x									9															
	x									17															
	x									RQ															
	x									84															
